RISHI explain-page audit  (report only)
scanned root: D:\rishi\public\explain
files found : 140
==============================================================================
BOARD  CLS   FILE                                ANIM        BUTTON      
ICSE   9     logarithms.html                     REAL        ok          
ICSE   9     simultaneous-equations.html         REAL        ok          
ICSE   9     compound-interest-formula.html      REAL        ok          
ICSE   9     compound-interest-without-formula.  REAL        ok          
ICSE   9     rational-irrational-numbers.html    REAL        ok          
ICSE   9     statistics.html                     REAL        ok          
ICSE   9     circle.html                         REAL        ok          
ICSE   9     construction-of-polygons.html       REAL        ok          
ICSE   9     inequalities-triangles.html         REAL        ok          
ICSE   9     isosceles-triangles.html            REAL        ok          
ICSE   9     mid-point-theorem.html              REAL        ok          
ICSE   9     pythagoras-theorem.html             REAL        ok          
ICSE   9     rectilinear-figures.html            REAL        ok          
ICSE   9     triangles-congruency.html           REAL        ok          
ICSE   9     area-theorems.html                  REAL        ok          
ICSE   9     mensuration.html                    REAL        ok          
==============================================================================
SUMMARY
  pages scanned ............ 140
  button present ........... 140
  button missing ........... 0
  animation REAL ........... 140
  animation TEXT-ONLY ...... 0   (manual rewrite needed)
  animation UNSURE ......... 0   (eyeball these)
